#N;FracGe;E_exp_total;E_min_total;E_exp_ladoSi;E_min_ladoSi;E_exp_ladoGe;E_min_ladoGe;E_exp_combinada;Delta_exp_total;Delta_min_total;Delta_exp_ladoSi;Delta_min_ladoSi;Delta_exp_ladoGe;Delta_min_ladoGe;Delta_exp_combinada;Ratio_aceptacion
0;0.0000;-1544.411093;-1544.411093;-1544.411093;-1544.411093;-1573.945034;-1573.945034;-1550.657723;9.476726;9.476726;9.476726;9.476726;-227.989283;-227.989283;-40.748955;1.000000
1;0.0833;-1537.596986;-1537.607931;-1537.596986;-1537.607931;-1563.706611;-1563.706611;-1537.596986;8.087048;7.999042;8.087048;7.999042;-201.845939;-201.845939;8.087048;1.000000
2;0.1667;-1530.823283;-1530.860036;-1530.823283;-1530.860036;-1553.477742;-1553.477742;-1530.823283;6.372503;6.076996;6.372503;6.076996;-175.779410;-175.779410;6.372503;1.000000
3;0.2500;-1524.023581;-1524.058245;-1524.023581;-1524.058245;-1540.033097;-1540.033141;-1524.023581;4.867008;4.588293;4.867008;4.588293;-123.856613;-123.856969;4.867008;1.000000
4;0.3333;-1517.236466;-1517.272593;-1517.236466;-1517.272593;-1528.236983;-1528.239990;-1517.236466;3.260300;2.969824;3.260300;2.969824;-85.188738;-85.212918;3.260300;1.000000
5;0.4167;-1510.237566;-1510.273776;-1510.237566;-1510.273776;-1517.314886;-1517.318807;-1510.237566;3.356446;3.065297;3.356446;3.065297;-53.548352;-53.579881;3.356446;1.000000
6;0.5000;-1505.166947;-1505.190898;-1503.172907;-1503.206256;-1507.317924;-1507.330186;-1503.172907;-12.051648;-12.244222;3.981317;3.713181;-29.346459;-29.445054;3.981317;1.000000
7;0.5833;-1498.277282;-1498.277603;-1495.921580;-1495.953475;-1498.277282;-1498.277603;-1498.277282;-12.833808;-12.836383;6.107088;5.850634;-12.833808;-12.836383;-12.833808;1.000000
8;0.6667;-1489.618025;-1489.643855;-1488.669684;-1488.685928;-1489.618025;-1489.643855;-1489.618025;0.612345;0.404662;8.237423;8.106820;0.612345;0.404662;0.612345;1.000000
9;0.7500;-1481.610021;-1481.641429;-1481.125994;-1481.126486;-1481.610021;-1481.641429;-1481.610021;8.822131;8.569595;12.713924;12.709964;8.822131;8.569595;8.822131;1.000000
10;0.8333;-1474.241544;-1474.257478;-1473.372021;-1473.372677;-1474.241544;-1474.257478;-1474.241544;11.889835;11.761717;18.881186;18.875913;11.889835;11.761717;11.889835;1.000000
11;0.9167;-1466.847346;-1466.856397;-1465.096212;-1465.096212;-1466.847346;-1466.856397;-1466.847346;15.164350;15.091573;29.244246;29.244240;15.164350;15.091573;15.164350;1.000000
12;1.0000;-1459.382214;-1459.382214;-1456.308298;-1456.308298;-1459.382214;-1459.382214;-1459.382214;19.009201;19.009201;43.724854;43.724854;19.009201;19.009201;19.009201;1.000000
